business_id,business_name,categories,stars,active,review_count
5jkZ3-nUPZxUvtcbr8Uw,George's Gyros Greek Grill,Greek Restaurants,4.5,True,11
BlvDO_RG2yElKu9XA1_g,Asian Island,Sushi Bars Hawaiian Chinese Restaurants,4.0,True,37
-0bUDim5OGuv8R0Qqq6J4A,International House of Pancakes,Restaurants,2.5,True,6
-0D_CYhlD2ILkmLR0pBmnA,Olive Gourmet,Food Specialty Food,4.0,True,5
-0QBrNvhrPQCaeo7mTo0zQ,La Salcita,Restaurants,4.5,True,3
-0xwm_AwS0d_5rwUprHGuw,Cup O'Karma,Food Coffee & Tea,4.0,True,16
-1-sUowC7fJ-cn7mCxvJ5w,The Angel Store & More...,Shopping,2.5,True,3
-1bOb2izeJBZjHC7NWxiPA,First Watch,Breakfast & Brunch Sandwiches Restaurants,3.5,True,51
-1N0Z3uM8xbxKS8XiAnaog,Corporate Office Centers,,2.5,True,3
-2xCV0XGD9NxfWaVwA1-DQ,Nino's Pizzeria 2,Pizza Restaurants,4.0,True,4
-34jE_5dujSWMIOBudQsiQ,Dairiki Tami MD,Doctors Health & Medical Obstetricians & Gynecologists,5.0,True,4
-3WVw1TNQbPBzaKCaQQ1AQ,China Chili,Chinese Restaurants,3.5,True,145
-3xbryp44xhpN4BohxXDdQ,The Keg Steakhouse & Bar,Bars Steakhouses Nightlife Restaurants,3.5,True,65
-4A5xmN21zi_TXnUESauUQ,D'lish,Breakfast & Brunch American (New) Sandwiches Restaurants,4.5,True,255
-4QayefhaPXm6wPp-Zpb0A,Premier Inn,Hotels & Travel Event Planning & Services Hotels,4.5,True,3
-4zMr3jk0ykmsk5sxsQMlA,99 Cents Only Store,Department Stores Fashion Shopping,4.0,True,5
-5EWgRkudDlcCbQSIL_twA,Phoenix Food Truck Festival,Food Arts & Entertainment Street Vendors Festivals,2.0,True,12
-5IgAihccTd8_iENVgpd9A,Comfort Suites,Hotels & Travel Event Planning & Services Hotels,3.5,True,3
-5rFC4EVrT-v8g1PSEf6Xg,Eest Asian Bistro,Asian Fusion Restaurants,4.0,True,35
-5XAZC1hC6G0NDkmPyhmUg,Fry's Food & Drug Stores & Fry's Marketplace,Food Grocery,3.5,True,5
-65rmLRQ5JDwI-l8UDEV7Q,Arizona Hair Company,Hair Salons Beauty & Spas,3.5,True,3
-6O53B-ksqSKzWM6Y9moEQ,Mesquite Grill and Sports Bar,Nightlife Bars Sports Bars Restaurants,2.5,True,7
-6Roo-EHgSdUa4rP3tWyRw,Mimis Cafe,Breakfast & Brunch American (Traditional) Restaurants,3.5,True,42
-6yIYUuwYcZnClI_8_ojVg,Guns Plus,Active Life Martial Arts Fitness & Instruction,2.5,True,3
-73hx2hut_2KPcGpCTO5YA,U-Swirl,Food Ice Cream & Frozen Yogurt,3.0,True,15
-7smFzvh2E2fOOYs-0Dl8w,Chipotle,Sandwiches Restaurants,4.5,True,4
-7XuLxfYwZ9x72mEKXdv0A,Lin's Golden Chinese Restaurant,Chinese Restaurants,4.5,True,7
-8aZ0v511M1zpoZAC3N3VA,Nutrition 101,Food Weight Loss Centers Juice Bars & Smoothies Health & Medical,4.0,True,7
-8IvK1VBMRqYY6CQzD6arg,Vistal Golf Club,Active Life Golf,3.0,True,13
-8PVP-Pnv232xPOUgPrxmg,Target Stores,Department Stores Fashion Shopping Drugstores,3.5,True,3
-8vrk9UzM2oIey95PZOHuA,Kfc,Restaurants,1.5,True,5
