business_id,Friday
--5jkZ3-nUPZxUvtcbr8Uw,11
--BlvDO_RG2yElKu9XA1_g,12
-0bUDim5OGuv8R0Qqq6J4A,6
-0D_CYhlD2ILkmLR0pBmnA,2
-0QBrNvhrPQCaeo7mTo0zQ,2
-0xwm_AwS0d_5rwUprHGuw,5
-1bOb2izeJBZjHC7NWxiPA,29
-2xCV0XGD9NxfWaVwA1-DQ,0
-3WVw1TNQbPBzaKCaQQ1AQ,36
-3xbryp44xhpN4BohxXDdQ,26
-4A5xmN21zi_TXnUESauUQ,493
-4QayefhaPXm6wPp-Zpb0A,2
-4zMr3jk0ykmsk5sxsQMlA,2
-5EWgRkudDlcCbQSIL_twA,2
-5IgAihccTd8_iENVgpd9A,1
-5rFC4EVrT-v8g1PSEf6Xg,4
-5XAZC1hC6G0NDkmPyhmUg,16
-65rmLRQ5JDwI-l8UDEV7Q,2
-6O53B-ksqSKzWM6Y9moEQ,3
-6Roo-EHgSdUa4rP3tWyRw,36
-73hx2hut_2KPcGpCTO5YA,4
-7smFzvh2E2fOOYs-0Dl8w,4
-7XuLxfYwZ9x72mEKXdv0A,2
-8aZ0v511M1zpoZAC3N3VA,1
-8IvK1VBMRqYY6CQzD6arg,6
-8PVP-Pnv232xPOUgPrxmg,29
-8vrk9UzM2oIey95PZOHuA,1
-8wyZkzfBmCFkMwCGcR4PQ,0
-92fePI5W6MwOaxMxphFjA,8
-98noPZy1sH6NndWmdtuDw,5
-9meXYVIw8yFg_yMG5RvCw,0
-9pVS__IliMA2aNEYzrQrg,462
-A5CFmkgdMEggaihtyxX4Q,1
-AAig9FG0s8gYE4f8GfowQ,101
-aBTFWuluGAJId7C4KNqeQ,5
-aDuOZelvBHWKh-NrXooow,1
-AEvCwVegPstHNAkhds-UA,3
-Bb1Xwd677TBSIPjw4x7oA,46
-bd26a1QEEpqUZjBmtBUiQ,42
-b_VjHZmA7-8LVWp6z36VA,1
-cKWUXE-16M1R15UOt6sqQ,12
-cy8EpdXs44iT3FR4En0QA,10
-CYr479M7Y49UqIPwFcjEg,8
-d1I0dwtCg1IIjnI3DZ38Q,0
-DGbZCnfEiHUy-ksKeJ72Q,8
-dz2h55a0SdnBJEXQm9CAQ,0
-E6XYf1ce1NCtV3QQI-3xA,2
-EctXOb3B7T177jGYUhjVA,155
-eim7j3MfRWxhatv-udhYw,7
-EOZn5fbMKUo_3QEDFfedQ,2
-Ez-Awbe41Tq8rNItBdA-A,0
-F9-dpfu6eVuS7HGs1ptsQ,19
-fgp41smAIXPBzmWzpY1aQ,0
-fIGHIUdHX-T_ZGh2IQz4Q,5
-fpBB1Oa7fVi7liNUd8qow,19
-fsCfTYEnJ4s6yStgBnQig,16
-ftQeUsqwDkExRg6IYrubQ,24
-Fv9yPpyBd2Ophih6b2mTw,1
-g5leVOzKA33Ruabe2Zo9w,5
-gefwOTDqW9HWGDvWBPSMQ,140
-GPiLRLH0MWH6Pjs0WDglg,12
-Gse8l_ec33gkWgotCLsew,1
-GYx5GAx_-4XEsn7mFwdkA,21
-h-q6zTIdPlkz9BDP11sBg,41
-h1WpfgqAmJcJDqyXXJ2og,17
-HADyd0_rgt7PzZ-HWHTiQ,0
-hQ8iZygzi0iiTFUkHgiEA,25
-HSVYFf0h868QQnLMHZWNw,0
-ijqzP5H4UCk2CEa6RRKQA,5
-iyXLstr5tP_oPdxDQjKHg,2
-J0jhpG0rv4saq9OMh8gXw,8
-JaNk2DOQdpjTl5Bu-iehg,7
-jBymA8tI-WURtSBcuUdXQ,3
-JL0CWSLkkzFHZXlctnf8A,28
-JpZiiGPKOuCEiODGNyovw,2
-K0cHLEnUl5PzTU9XiGoNQ,2
-KEU36ohRQb19mrbA65Y3Q,20
-KF9RQPkmIOHfE0tzUu9bg,60
-kVXDEqGHOWKxQ3EhvFgVA,2
-KzyOiFK4SM9I1vmuTSsuA,6
-L39pGMPP1kM3DI0Z0oZSw,9
-lDo_9oU_xna4_idQP1r4A,39
-lOSaCuBRAvX5JBifx-EMw,17
-luJmoJUWtS4iQh7Bbbblw,3
-M1rR1Ip7NOlMn5EbUkuog,1
-Mf4I8Jr_Vly37Z3Mgf0zQ,8
-mLcpJYfX8tw8LR9bq018w,8
-mz0Zr0Dw6ZASg7_ah1R8A,10
-N6XWiSuFKv-AXT7C3n6Yw,3
-NbEHP2GHFNb5PnmJnd4qQ,2
-nC13Bk7eJJN1likqJRY1w,7
-NGrzJp0dX5pK3qdGSaspw,3
-nHYKkSJuQ7zzFZ1veRfPg,3
-nPwp-pg-pTEO2nqo1h_lg,21
-nWigG5EhFLjdSgGZthS3Q,6
-O7H5LhBkE13VQZB0QZI0Q,121
-Ogv7rpcgUHkFaSy3vD8Sw,41
-OjA9Wvnn-XExG-9Djj2og,3
-p-9eBYvts8tcalo5IWOKw,88
-p9-E-KTtQRJM0nV9rx6pQ,1
-PA_1J9JzxLcluTOw2gZjw,9
-PisznY2s13FyX3tASY4aA,13
-PoxCIqlN6tX98AxC0aPTQ,21
-pW4bAhmTvY3UVkroQcUQg,0
-QdMyyV-GY3qXcXuLiqVqg,3
-qv60txNVfg5pJ0b0w-QJw,12
-qVT-HznnQMPdgFuRYbyVw,4
-r0wNFCnAkK8DjMnv3L6Zg,2
-Rj4yXguyZ06ZMPMmoR9tg,12
-S7aL8dVIiXjCdbTZVn8uA,1
-sAoGZTnFtDZUY9JYWHqlg,223
-sC66z4SO3tR7nFCjfQwuQ,302
-SfUBPZcJ6uw2cVlc6dk-Q,4
-sHaV6At__T1RJQXiR6d0g,10
-sTBvM1pOpZts9dnJ6_5Xw,1
-SxeUGqnKy8YiEV5YA42Jw,15
-tBiXT917wKlr6n9wSqViw,29
-Tc8XH5AovlSX3_tEmGerg,4
-tNKk-eCLk_acdp4vEYcpw,7
-TNwWa_OGPmZoBFl25zdYA,0
-UHDEY88hqUtrTPWfQ5CgQ,9
-UnYs8XvV1M983xZoREdng,34
-uSHlr8Wk6f8ewVEgsvcWQ,4
-UT6IHfVW_2yzz1bf8WI5g,9
-ux2HqhfQqldjxSt8vdSwQ,36
-v8FrfMccLpIzong9XpiuQ,3
-vaGR2CXNS4NZrMdctSkGA,10
-vF04fhPCoSdqgIhAZm0wQ,8
-vHWAsiX0iHWJw-pkqv32Q,81
-wwJIaO7-diyEqxGwZKVuQ,2
-WXH-j7_Ugm6phJDdY5bzw,16
-wymeGehHwL9ALaE_NFCXA,80
-WZIxGXJHMGidZXRhKxP3w,33
-xBv8p9jzOkMyGlY07FMTA,2
-xFO1E3OiDMmdqdjwUM_DA,47
-XlBQrxN_ZB3MZKxLBeAjA,1
-XoFkjdXb5ZIXwoZdjJtoQ,2
-Xt7W-mrOxl5MOd1czahCQ,10
-x_jL2OCWPdObGTOwIpN4w,23
-Y2rZMPttQqKXD_XJPQerA,3
-YtGU_1Sc1E57-gJfUcDTw,19
-yxfBYGB6SEqszmxJxd97A,13
-zcZNlO0JwZHppan8rGkBQ,12
-ZN2OT0TcgjzRAQlBvGEBQ,64
-zRuiAAK1FpbQDcw1fbrUA,6
-ZXq0YMt2iOK4VRIqPcSCw,118
-_0Dx-cEvnQ0w2mauUpyXA,1
-_JBgygYYD_UkuD-GVTp6A,4
-_npP9XdyzILAjtFfX8UAQ,1
-_R8e87VykfxZxRz8Sosqw,2
-_wk7WTa_--ZJWFF_i5v_w,8
0-JuUsqksiNbEOOkTGMNDw,21
0-KOpYSe9aQTAfM38f47HQ,0
01cEFI5Pq_RyEwM3GSTopQ,94
01euuGhBwvcDhl9KcPTang,0
022T8YSRmb3b1BfwzO3F7Q,27
03m0CGFwEInR8ZBGrqmO7w,1
04Jrd2zSzwHwmBqdKQDmIw,7
06A3s7Ji-kJQbVxC6QbdNg,1
06kfoeRs9Acj82Yl3i9p_w,27
07a5t3hYhtPHlBviiETUpA,3
07cTodzpVqswCRGCHG7aHg,3
07OyvsOpqTWuyTtvE4_gcA,24
08eBj_o6oTncJR0ylM8qSg,0
08In-bFs8JOmSTDlQ0BfFw,9
08NQu7YaKY3m500DS7e5Tw,1
08OcGan0xiT6I_oJ2loLMA,12
08u8R53F7kT6avQbIrLhvQ,16
08Z_Zzp8PyEmWWpYurIO-Q,4
09dr3kXV8Ff42Ur3mCh3LA,6
09Kv1q51BlUyLznzNnL5Xw,4
09nlgfIqh29b_zVXPdmySg,8
09QAAACarx9CzLsbRjOuUg,1
09YNMPANM20sCJkVvMC1vg,3
0a8hLC1V7jgOjRigoBohAg,52
0Apb1P7RzbQEkeJDuywlPQ,0
0AZiq_OMKs3I9lTmwd5PSg,6
0BpMvu5B9fY-KEbOuxLtFQ,8
0bQEsXnD6y38Fissudcq3g,4
0bQiWdKxj2EmsGYRVC9qyA,6
0BScRHEa2lVBCY4spkhmvQ,3
0BYuj1cOFkqdcnd653bcbw,2
0CFBeDV58e3uH4vsKggEmQ,2
0CG3ns3gwWV5nOnfzSfUIQ,21
0COaKgRuDzBisc2AxcLzMA,56
0db71MbrvcJnyk71COCJBg,54
0De3TQ_uSOXwgduKL0va3w,6
0deS4g2xR4SjvjHNeHUc-A,0
0dIChGWBs9ueUXl0hhkw2w,9
0dORc6ckZw5HezR3BuSsqw,58
0DvsBDG0CEwIK8uQxUGiOQ,3
0EBR4wDqtkbMC-wghpctEg,2
0EE3BohGb4lxWRnHLiqNnw,10
0eQbLuTmlkIzOF85LsGfsA,6
0erbONkOO256HNzuIllFig,4
0eSkAhHp8w94G4SqwfsU8w,5
0f1oltdXd_3elbeLPK49Og,0
0f4IQo7Odn7nvvO4TCAGAw,2
0flaoi5DDGt-FLbmhVprmA,1
